opportunity_id,ngo_name,description,required_skills,importance_level,work_calendar
63,Gray-Hutchinson,"Help with a robotics project. Requires skills in Python, C++.","Python, C++",standard,Thu
64,"Baxter, Johnson and Savage","Help with a animal welfare project. Requires skills in Social Media, Marketing.","Social Media, Marketing",high,Fri
65,"Barnes, Bates and Williams","Help with a community service project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",high,Tue
66,Brown-Miles,"Help with a animal welfare project. Requires skills in Social Media, Marketing.","Social Media, Marketing",emergency,"Sun,Tue,Sat"
67,Rose-Freeman,"Help with a conservation project. Requires skills in Environmental, Research.","Environmental, Research",standard,"Thu,Mon,Tue"
68,"Munoz, Smith and Williams","Help with a fundraising project. Requires skills in Social Media, Marketing.","Social Media, Marketing",high,"Fri,Mon,Sat"
69,Collins-Owens,"Help with a youth education project. Requires skills in Python, C++.","Python, C++",standard,"Wed,Tue,Mon"
70,Lopez-Key,"Help with a youth education project. Requires skills in Python, C++.","Python, C++",high,"Wed,Fri,Thu"
71,"Irwin, Monroe and Anderson","Help with a data analysis project. Requires skills in Environmental, Research.","Environmental, Research",emergency,"Fri,Sun,Tue,Mon"
72,Morales Ltd,"Help with a fundraising project. Requires skills in Social Media, Marketing.","Social Media, Marketing",emergency,"Thu,Sun,Mon,Wed"
73,Stewart-Lewis,"Help with a conservation project. Requires skills in Environmental, Research.","Environmental, Research",standard,"Mon,Thu"
74,"Fischer, Baird and Lowe","Help with a youth education project. Requires skills in Python, C++.","Python, C++",emergency,"Thu,Tue,Sun,Mon"
75,"Davis, Wilson and Banks","Help with a community outreach project. Requires skills in Social Media, Marketing.","Social Media, Marketing",standard,"Sun,Fri,Mon"
76,Ramirez-Good,"Help with a mentoring project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",emergency,"Wed,Sat,Sun"
77,Alvarez Group,"Help with a tech development project. Requires skills in Python, C++.","Python, C++",emergency,Mon
78,"Miller, Hill and Chavez","Help with a youth education project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",high,"Fri,Tue"
79,Callahan and Sons,"Help with a robotics project. Requires skills in Python, C++.","Python, C++",high,"Wed,Mon,Thu"
80,"Meyer, Curtis and Reed","Help with a scientific studies project. Requires skills in Environmental, Research.","Environmental, Research",emergency,"Sat,Tue"
81,Ramirez Inc,"Help with a animal welfare project. Requires skills in Social Media, Marketing.","Social Media, Marketing",high,"Thu,Tue,Fri,Mon"
82,Williams Ltd,"Help with a mentoring project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",standard,"Sun,Thu"
83,Grant-Potts,"Help with a animal welfare project. Requires skills in Social Media, Marketing.","Social Media, Marketing",standard,"Sat,Mon,Fri,Wed"
84,"Browning, Williams and Curry","Help with a youth education project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",emergency,"Thu,Sat"
85,"Lawson, Simpson and Schneider","Help with a tech development project. Requires skills in Python, C++.","Python, C++",high,"Sat,Mon,Sun,Tue"
86,Bowman-Watson,"Help with a robotics project. Requires skills in Python, C++.","Python, C++",high,"Tue,Thu,Sat,Wed"
87,"Thompson, Bennett and Carter","Help with a community service project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",high,"Sun,Wed,Fri,Mon"
88,Hernandez LLC,"Help with a robotics project. Requires skills in Python, C++.","Python, C++",standard,Thu
89,Clarke-Higgins,"Help with a mentoring project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",emergency,"Fri,Sun,Wed"
90,Chan-Johnson,"Help with a conservation project. Requires skills in Environmental, Research.","Environmental, Research",standard,"Mon,Tue,Thu"
91,Martin-Holden,"Help with a robotics project. Requires skills in Python, C++.","Python, C++",high,Sun
92,Ward-Hays,"Help with a youth education project. Requires skills in Python, C++.","Python, C++",standard,"Thu,Wed,Sun"
93,Carter Group,"Help with a conservation project. Requires skills in Environmental, Research.","Environmental, Research",standard,"Sun,Thu"
94,"Allen, Williams and White","Help with a community outreach project. Requires skills in Social Media, Marketing.","Social Media, Marketing",emergency,Mon
95,"Chandler, Turner and Houston","Help with a mentoring project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",standard,"Sat,Sun,Wed"
96,Perry-Garcia,"Help with a youth education project. Requires skills in Python, C++.","Python, C++",high,Fri
97,Wells-Randall,"Help with a youth education project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",standard,Fri
98,Martinez-Wilson,"Help with a community service project. Requires skills in Public Speaking, Teaching.","Public Speaking, Teaching",high,"Mon,Wed"
99,Simmons-Turner,"Help with a community outreach project. Requires skills in Social Media, Marketing.","Social Media, Marketing",standard,"Mon,Sun"
